"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4428","Проверка ошибок валидации при пустых полях формы заказа","tests","2026-08-09","passed","2026-08-09","TestRegistrationPage","test_registration_page","",""
"","3576","Проверка FAQ: вопросы и ответы","tests","2026-08-09","passed","2026-08-09","TestHomePage","test_home_page","",""
"","3799","Проверка FAQ: вопросы и ответы","tests","2026-08-09","skipped","2026-08-09","TestHomePage","test_home_page","",""
"","5368","Логотип 'Яндекс' открывает Дзен в новой вкладке","tests","2026-08-09","passed","2026-08-09","TestHeader","test_header_page","",""
"","3843","Проверка FAQ: вопросы и ответы","tests","2026-08-09","passed","2026-08-09","TestHomePage","test_home_page","",""
"","4793","Проверка FAQ: вопросы и ответы","tests","2026-08-09","passed","2026-08-09","TestHomePage","test_home_page","",""
"","5399","Проверка FAQ: вопросы и ответы","tests","2026-08-09","passed","2026-08-09","TestHomePage","test_home_page","",""
"","3857","Проверка FAQ: вопросы и ответы","tests","2026-08-09","passed","2026-08-09","TestHomePage","test_home_page","",""
"","4429","Проверка FAQ: вопросы и ответы","tests","2026-08-09","passed","2026-08-09","TestHomePage","test_home_page","",""
"","5280","Проверка FAQ: вопросы и ответы","tests","2026-08-09","passed","2026-08-09","TestHomePage","test_home_page","",""
"","4226","Логотип 'Самокат' ведет на главную страницу","tests","2026-08-09","passed","2026-08-09","TestHeader","test_header_page","",""
"","7191","Проверка позитивного сценария заказа самоката","tests","2026-08-09","passed","2026-08-09","TestRegistrationPage","test_registration_page","",""
"","6182","Проверка позитивного сценария заказа самоката","tests","2026-08-09","passed","2026-08-09","TestRegistrationPage","test_registration_page","",""
