"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Проверка FAQ: вопросы и ответы","tests","2026-08-09","broken","2026-08-09","TestHomePage","test_home_page","",""
"","0","Проверка FAQ: вопросы и ответы","tests","2026-08-09","broken","2026-08-09","TestHomePage","test_home_page","",""
"","0","Проверка позитивного сценария заказа самоката","tests","2026-08-09","broken","2026-08-09","TestRegistrationPage","test_registration_page","",""
"","0","Проверка FAQ: вопросы и ответы","tests","2026-08-09","broken","2026-08-09","TestHomePage","test_home_page","",""
"","0","Проверка FAQ: вопросы и ответы","tests","2026-08-09","broken","2026-08-09","TestHomePage","test_home_page","",""
"","0","Логотип 'Самокат' ведет на главную страницу","tests","2026-08-09","broken","2026-08-09","TestHeader","test_header_page","",""
"","0","Проверка FAQ: вопросы и ответы","tests","2026-08-09","broken","2026-08-09","TestHomePage","test_home_page","",""
"","0","Проверка FAQ: вопросы и ответы","tests","2026-08-09","broken","2026-08-09","TestHomePage","test_home_page","",""
"","0","Логотип 'Яндекс' открывает Дзен в новой вкладке","tests","2026-08-09","broken","2026-08-09","TestHeader","test_header_page","",""
"","0","Проверка FAQ: вопросы и ответы","tests","2026-08-09","skipped","2026-08-09","TestHomePage","test_home_page","",""
"","0","Проверка позитивного сценария заказа самоката","tests","2026-08-09","broken","2026-08-09","TestRegistrationPage","test_registration_page","",""
"","0","Проверка FAQ: вопросы и ответы","tests","2026-08-09","broken","2026-08-09","TestHomePage","test_home_page","",""
"","0","Проверка ошибок валидации при пустых полях формы заказа","tests","2026-08-09","broken","2026-08-09","TestRegistrationPage","test_registration_page","",""
